mlyn,start,koniec,min_d1,min_d2,min_d3,czas_min
3,2026-02-05 11:54:00,2026-02-05 12:16:00,4.0,0.0,0.0,23.0
3,2026-02-05 13:19:00,2026-02-05 14:16:00,3.0,0.0,0.0,58.0
3,2026-02-09 04:39:00,2026-02-09 05:00:00,12.0,0.0,0.0,22.0
3,2026-02-10 22:36:00,2026-02-10 22:37:00,0.0,1.0,1.0,2.0
3,2026-02-11 09:40:00,2026-02-11 10:15:00,7.0,3.0,26.0,36.0
3,2026-02-11 17:20:00,2026-02-11 17:23:00,0.0,0.0,4.0,4.0
3,2026-02-15 02:38:00,2026-02-15 04:11:00,61.0,0.0,0.0,94.0
3,2026-02-22 21:51:00,2026-02-22 21:52:00,0.0,2.0,0.0,2.0
3,2026-02-26 22:01:00,2026-02-26 22:01:00,0.0,1.0,0.0,1.0
4,2026-02-11 04:10:00,2026-02-11 04:10:00,0.0,0.0,1.0,1.0
4,2026-02-11 09:42:00,2026-02-11 09:43:00,0.0,2.0,0.0,2.0
4,2026-02-19 18:15:00,2026-02-19 19:19:00,31.0,6.0,0.0,65.0
4,2026-02-26 23:59:00,2026-02-27 00:00:00,0.0,0.0,2.0,2.0
