mlyn,typ,start,koniec,czas_min
3,B_skok_mocy,2026-02-01 00:14:00,2026-02-01 00:25:00,12.0
2,B_skok_mocy,2026-02-01 00:17:00,2026-02-01 00:29:00,13.0
4,B_skok_mocy,2026-02-01 00:20:00,2026-02-01 00:37:00,18.0
1,B_skok_mocy,2026-02-01 00:21:00,2026-02-01 00:39:00,19.0
2,B_skok_mocy,2026-02-02 03:05:00,2026-02-02 03:07:00,3.0
2,B_skok_mocy,2026-02-02 20:30:00,2026-02-02 20:30:00,1.0
2,B_skok_mocy,2026-02-02 21:43:00,2026-02-02 21:44:00,2.0
2,B_skok_mocy,2026-02-04 19:24:00,2026-02-04 19:29:00,6.0
2,B_skok_mocy,2026-02-05 03:26:00,2026-02-05 03:34:00,9.0
3,A_deficyt_went,2026-02-05 10:48:00,2026-02-05 14:26:00,219.0
1,B_skok_mocy,2026-02-08 23:08:00,2026-02-09 01:44:00,157.0
3,A_deficyt_went,2026-02-09 04:20:00,2026-02-09 05:14:00,55.0
4,B_skok_mocy,2026-02-09 06:45:00,2026-02-09 09:42:00,178.0
1,B_skok_mocy,2026-02-10 12:35:00,2026-02-10 14:34:00,120.0
3,B_skok_mocy,2026-02-11 07:30:00,2026-02-11 10:27:00,178.0
1,C_trip,2026-02-11 07:49:00,2026-02-11 07:49:00,1.0
3,A_deficyt_went,2026-02-11 09:07:00,2026-02-11 10:13:00,67.0
1,C_trip,2026-02-11 14:06:00,2026-02-11 14:06:00,1.0
1,B_skok_mocy,2026-02-11 20:31:00,2026-02-11 23:28:00,178.0
1,B_skok_mocy,2026-02-13 11:02:00,2026-02-13 12:27:00,86.0
2,B_skok_mocy,2026-02-13 11:08:00,2026-02-13 11:53:00,46.0
3,B_skok_mocy,2026-02-13 17:25:00,2026-02-13 20:23:00,179.0
3,A_deficyt_went,2026-02-14 08:30:00,2026-02-14 09:48:00,79.0
1,B_skok_mocy,2026-02-14 21:48:00,2026-02-15 00:27:00,160.0
4,C_trip,2026-02-14 23:56:00,2026-02-14 23:56:00,1.0
2,B_skok_mocy,2026-02-15 00:29:00,2026-02-15 01:48:00,80.0
3,A_deficyt_went,2026-02-15 02:02:00,2026-02-15 04:41:00,160.0
1,B_skok_mocy,2026-02-16 02:25:00,2026-02-16 03:49:00,85.0
4,B_skok_mocy,2026-02-16 08:04:00,2026-02-16 09:42:00,99.0
2,B_skok_mocy,2026-02-17 02:46:00,2026-02-17 05:10:00,145.0
3,B_skok_mocy,2026-02-17 03:45:00,2026-02-17 04:56:00,72.0
1,B_skok_mocy,2026-02-17 03:48:00,2026-02-17 05:44:00,117.0
4,B_skok_mocy,2026-02-18 19:48:00,2026-02-18 19:48:00,1.0
4,B_skok_mocy,2026-02-18 20:19:00,2026-02-18 23:14:00,176.0
4,A_deficyt_went,2026-02-19 17:38:00,2026-02-19 19:08:00,91.0
1,B_skok_mocy,2026-02-19 18:47:00,2026-02-19 21:44:00,178.0
3,A_deficyt_went,2026-02-19 19:00:00,2026-02-19 19:05:00,6.0
2,B_skok_mocy,2026-02-20 15:07:00,2026-02-20 18:05:00,179.0
1,B_skok_mocy,2026-02-22 12:15:00,2026-02-22 15:13:00,179.0
1,B_skok_mocy,2026-02-23 06:09:00,2026-02-23 06:34:00,26.0
3,B_skok_mocy,2026-02-23 19:42:00,2026-02-23 22:39:00,178.0
4,B_skok_mocy,2026-02-24 14:10:00,2026-02-24 17:08:00,179.0
4,B_skok_mocy,2026-02-25 14:02:00,2026-02-25 15:52:00,111.0
2,B_skok_mocy,2026-02-25 14:53:00,2026-02-25 16:12:00,80.0
