model,fold,epoka,loss_tr,ap_te
MLP,0,0,0.6544029493793285,0.7970993915149361
MLP,0,1,0.30972281877597213,0.9372208198524697
MLP,0,2,0.10114498065207117,0.9515968427176981
MLP,0,3,0.05005112830877798,0.9507816178525238
MLP,0,4,0.0336133108551127,0.9454465592858965
MLP,0,5,0.028112075074408785,0.9348863783056979
MLP,0,6,0.02327417048010882,0.9126734756222271
MLP,0,7,0.02010829666086389,0.9082566367949528
MLP,0,8,0.017402382758828345,0.8774023223665065
MLP,0,9,0.016736400755081395,0.861357736508008
MLP,0,10,0.016737147458761478,0.8522998847912749
MLP,0,11,0.013695257832495906,0.8392243860537446
MLP,0,12,0.011465951978183425,0.8233468407579416
MLP,0,13,0.011336351505613526,0.8474274472591178
MLP,0,14,0.010813124262699618,0.8364187192063517
MLP,0,15,0.009977302029349653,0.8495585641252892
MLP,0,16,0.009615566163186961,0.8547836864094202
MLP,0,17,0.00930755061853018,0.8561478882956511
MLP,0,18,0.008541409498403138,0.8536963965247213
MLP,0,19,0.009915908431453995,0.8518977743712414
MLP,0,20,0.0083490966492048,0.8476183096258316
MLP,0,21,0.0084800258645617,0.8534457909560572
MLP,0,22,0.007770706589368564,0.859474282354415
MLP,0,23,0.006944488099629518,0.8546693346173919
MLP,0,24,0.006322258510744047,0.8602484531502769
MLP,0,25,0.00584995390694402,0.8681775004684973
MLP,0,26,0.00539247031497516,0.8665925977375273
MLP,0,27,0.005228740270733685,0.8673976787720613
MLP,0,28,0.005153319241863718,0.869151496984167
MLP,0,29,0.00493976350432847,0.8599173521437665
MLP,1,0,0.589075938047373,0.9225503968480987
MLP,1,1,0.27780335156615227,0.929275286285189
MLP,1,2,0.09661226859279388,0.9259405418753764
MLP,1,3,0.048383856323387556,0.9145146461545596
MLP,1,4,0.03208921723455405,0.9086854578171409
MLP,1,5,0.02640663449216463,0.9021044165356
MLP,1,6,0.02217845938973755,0.918198942956359
MLP,1,7,0.019177153524903574,0.939889988462301
MLP,1,8,0.016817362771653337,0.940167148470936
MLP,1,9,0.015151592208110368,0.9281236602394308
MLP,1,10,0.014186744262853006,0.9219049394793449
MLP,1,11,0.013245585800809907,0.9037829904568943
MLP,1,12,0.011495469718300236,0.9314222068439232
MLP,1,13,0.010541325969351999,0.9388124132441052
MLP,1,14,0.010215773422934725,0.9426638684402139
MLP,1,15,0.009215431739037395,0.9639753738117941
MLP,1,16,0.007976843811468723,0.9811817678016533
MLP,1,17,0.007767777053731011,0.9837694286863329
MLP,1,18,0.006825985154215962,0.9847092468325758
MLP,1,19,0.008963968071282934,0.9739713829105564
MLP,1,20,0.006870705748634927,0.9873480268136944
MLP,1,21,0.006429886334264032,0.9939628169681718
MLP,1,22,0.005593607216365098,0.9947635930041631
MLP,1,23,0.00580935765068188,0.9912346872456471
MLP,1,24,0.005314574246961982,0.9952843538606194
MLP,1,25,0.005422475512205429,0.9928040952110769
MLP,1,26,0.0049515168839351295,0.9884939655937804
MLP,1,27,0.004412354282299792,0.9894510914210507
MLP,1,28,0.004294256551855554,0.9900107729168317
MLP,1,29,0.004276883825055549,0.9916582496673023
MLP,2,0,0.5695809848055396,0.6900622553256633
MLP,2,1,0.26979708826540666,0.9708527488241804
MLP,2,2,0.09038035468387674,1.0
MLP,2,3,0.042273651598494714,1.0
MLP,2,4,0.029112740431558832,0.9997267759562843
MLP,2,5,0.023262433630888767,0.9966670421206526
MLP,2,6,0.019501694105809576,0.9940962937008574
MLP,2,7,0.016642022954326784,0.9892824591087711
MLP,2,8,0.015554539618478436,0.9895644139959893
MLP,2,9,0.013965235113050131,0.9806750429661798
MLP,2,10,0.012466753845776703,0.977719930559946
MLP,2,11,0.011182298805877561,0.9578549728850032
MLP,2,12,0.012205099179575041,0.9446063345165635
MLP,2,13,0.009611588874910008,0.9029987163628886
MLP,2,14,0.008552961794076582,0.8660305067248638
MLP,2,15,0.008147389098774499,0.8619694205680558
MLP,2,16,0.008372304432604066,0.8327953373978879
MLP,2,17,0.007988401681946491,0.8984160430755929
MLP,2,18,0.0072170680347762185,0.8707762569218841
MLP,2,19,0.006632318387542987,0.8119177905619283
MLP,2,20,0.0061569903134013155,0.7936260234540986
MLP,2,21,0.0068226145646162785,0.7575618499230271
MLP,2,22,0.005594514557786267,0.7773621409993133
MLP,2,23,0.005896331115119139,0.8124271344549837
MLP,2,24,0.005748185925435152,0.7766504096327398
MLP,2,25,0.004807524022220856,0.7708431561055338
MLP,2,26,0.00479251743290331,0.8092349821618616
MLP,2,27,0.004676073709110807,0.7721861763151315
MLP,2,28,0.004532746186823797,0.793470069631823
MLP,2,29,0.004121840901015401,0.7916729866508178
MLP,3,0,0.5948685999981109,0.6173289335179021
MLP,3,1,0.2769158321531445,0.6767312192293857
MLP,3,2,0.08392627150103943,0.6755426795421863
MLP,3,3,0.03695478521827009,0.6682458482283681
MLP,3,4,0.024207459429065895,0.6618265592539743
MLP,3,5,0.019084341319283486,0.6552599525569591
MLP,3,6,0.015234820805913693,0.6509013522160457
MLP,3,7,0.014252815638333716,0.6531913056419834
MLP,3,8,0.012353081167521408,0.6562551758580174
MLP,3,9,0.011409844615583942,0.6497533120570502
MLP,3,10,0.009910123847109337,0.6331555088327612
MLP,3,11,0.00923713431307246,0.6185228660776593
MLP,3,12,0.008107245621035316,0.6039282193948354
MLP,3,13,0.007382322096015032,0.5871132429397539
MLP,3,14,0.007329578602539985,0.5874747485709776
MLP,3,15,0.006484472812322469,0.5840733764428944
MLP,3,16,0.005809750678446143,0.5680952813461995
MLP,3,17,0.006107353845704176,0.5708872972264011
MLP,3,18,0.0058052633803092266,0.5774449026407045
MLP,3,19,0.005352492032243368,0.5780878676363751
MLP,3,20,0.004621081020615058,0.5501550993344462
MLP,3,21,0.0055393671982750916,0.5738269356016932
MLP,3,22,0.0038405317342455588,0.550057260749082
MLP,3,23,0.0040762230323525455,0.5412298146243741
MLP,3,24,0.003872493654364853,0.5479813241105903
MLP,3,25,0.0031933899666283703,0.5319884341397183
MLP,3,26,0.0031181558552724614,0.5459492554012764
MLP,3,27,0.0031121564168861125,0.5243166006268954
MLP,3,28,0.003032813084224937,0.5195018333990765
MLP,3,29,0.0027550111984234304,0.516521853215311
MLP,4,0,0.5834572877864059,
MLP,4,1,0.2704366607267592,
MLP,4,2,0.09123949799777023,
MLP,4,3,0.044401059408274136,
MLP,4,4,0.027980869440673177,
MLP,4,5,0.022027128770459238,
MLP,4,6,0.019414677623654845,
MLP,4,7,0.016453965284556418,
MLP,4,8,0.013354418761122588,
MLP,4,9,0.011806845415851058,
MLP,4,10,0.011442863238361588,
MLP,4,11,0.011498849699474147,
MLP,4,12,0.010170663503946131,
MLP,4,13,0.008920946382542642,
MLP,4,14,0.008813452646722434,
MLP,4,15,0.007536849285602833,
MLP,4,16,0.007351824298293046,
MLP,4,17,0.0067919910226952795,
MLP,4,18,0.006432550892937088,
MLP,4,19,0.006645531502332827,
MLP,4,20,0.005736147026361668,
MLP,4,21,0.005241629194787142,
MLP,4,22,0.005449602568244565,
MLP,4,23,0.005041864702032097,
MLP,4,24,0.004867669740323055,
MLP,4,25,0.004691249849334142,
MLP,4,26,0.005117618431178131,
MLP,4,27,0.003991598004163669,
MLP,4,28,0.004239005080957653,
MLP,4,29,0.004768537560970475,
LSTM,0,0,0.3702751498304888,0.6747105956443324
LSTM,0,1,0.08662002284271306,0.8199071855312675
LSTM,0,2,0.043960883224979166,0.8819048878290606
LSTM,0,3,0.03388017473084417,0.8167250396781242
LSTM,0,4,0.047228840915687,0.8534987263358429
LSTM,0,5,0.026896859618899246,0.8718192072212291
LSTM,0,6,0.02036808726229515,0.7959071188081154
LSTM,0,7,0.018828871606495448,0.9055794145385295
LSTM,0,8,0.015955903036998675,0.9173974880698402
LSTM,0,9,0.01416707536326119,0.913725138840752
LSTM,0,10,0.013366436878617723,0.9206596815600009
LSTM,0,11,0.010938634866135038,0.9810488622783607
LSTM,0,12,0.009066235309058977,0.7372245515472878
LSTM,0,13,0.007334214087828969,0.5800655173938511
LSTM,0,14,0.00588797647814895,1.0
LSTM,1,0,0.45949503809312486,0.681724445730188
LSTM,1,1,0.07650718936081945,0.5974075760099467
LSTM,1,2,0.037033746798351336,0.5074284387278443
LSTM,1,3,0.025871471079393825,0.28147587612697017
LSTM,1,4,0.025283538444882032,0.4726862178388037
LSTM,1,5,0.020872576459377363,0.7944798712387579
LSTM,1,6,0.018837503352450366,0.5090204244442827
LSTM,1,7,0.013139820661058704,0.2641472415405626
LSTM,1,8,0.0168628213139464,0.6989345776431269
LSTM,1,9,0.012682552038959133,0.7653566453040885
LSTM,1,10,0.013967143426684795,0.8485648125797363
LSTM,1,11,0.010109767273898973,0.1497530621958872
LSTM,1,12,0.017421991830293217,0.3636522236772737
LSTM,1,13,0.010840096135695572,0.26860121674308307
LSTM,1,14,0.009262601367123023,0.6267846683923192
LSTM,2,0,0.444392594839037,0.17225853458539842
LSTM,2,1,0.06678120743508016,0.19880701601795764
LSTM,2,2,0.027327807997021312,0.19862973480935045
LSTM,2,3,0.022879321564330254,0.34065151137718924
LSTM,2,4,0.01651776890651899,0.5961537719876664
LSTM,2,5,0.014708725838716548,0.09539056173683869
LSTM,2,6,0.008928606152579082,0.07038050131370253
LSTM,2,7,0.006995086106870387,0.06630316577323027
LSTM,2,8,0.008655151377615841,0.22907397098980353
LSTM,2,9,0.0071454877334231415,0.18349625795559307
LSTM,2,10,0.006274673108872629,0.1693616159216449
LSTM,2,11,0.00638680553734176,0.16562820672937578
LSTM,2,12,0.018538209009038326,0.10123076170077899
LSTM,2,13,0.01944495360193246,0.23927540438320938
LSTM,2,14,0.008948417377015684,0.23179498386785996
LSTM,3,0,0.5312594806805311,0.38826082117937305
LSTM,3,1,0.06797009135080083,0.41251556886778584
LSTM,3,2,0.03344057894390614,0.5149067939163074
LSTM,3,3,0.020083434691147095,0.5127420800771861
LSTM,3,4,0.016614608247514717,0.3119742681324899
LSTM,3,5,0.037731376060605414,0.6161237552359039
LSTM,3,6,0.027590606095564834,0.3451547688838914
LSTM,3,7,0.01649729818221019,0.5489518763489053
LSTM,3,8,0.011925707423556009,0.6170709640393433
LSTM,3,9,0.009683684417614975,0.5983422554900267
LSTM,3,10,0.008813956126286517,0.5910825562052394
LSTM,3,11,0.007117432672319334,0.6061763678267065
LSTM,3,12,0.0062484192235149226,0.6081980369426878
LSTM,3,13,0.005782078459937148,0.6270950243730878
LSTM,3,14,0.0075726616856342955,0.5820156040472868
LSTM,4,0,0.44923405492261276,
LSTM,4,1,0.03811019808535849,
LSTM,4,2,0.02548044682191577,
LSTM,4,3,0.021986928235609732,
LSTM,4,4,0.02145845750918238,
LSTM,4,5,0.020644590282568688,
LSTM,4,6,0.016770234722551423,
LSTM,4,7,0.015374013095565919,
LSTM,4,8,0.015818566704403677,
LSTM,4,9,0.016660617154035995,
LSTM,4,10,0.016990425098767723,
LSTM,4,11,0.012646269264675764,
LSTM,4,12,0.013477922870652444,
LSTM,4,13,0.01053546752617733,
LSTM,4,14,0.010862996095720412,
